交互检查规则,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
导出规则,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表头,编号,名称,商品编号,渠道类型,商品类型,商品子类型,排序,价格,玉珏,正常赠送,每日赠送,首充赠送,标签,图标,首冲礼包,物品数量,图标,2次充值礼包,物品数量,图标,3次充值礼包,物品数量,图标,描述,充值赠赠送百分比,联想平台用,VIP等级显示,渠道特惠购买对应苹果id,名字,数量
,108012,特惠购买980玉玦,cn.gamejelly.360.thgm_980yj,115,4,15,12,98,,,,0,1,1003,,,,,,,,500002,,,,,,,,
,108013,特惠购买1980玉玦,cn.gamejelly.360.thgm_1980yj,115,4,16,13,198,,,,0,1,1004,,,,,,,,500003,,,,,,,,
,108014,特惠购买3280玉玦,cn.gamejelly.360.thgm_3280yj,115,4,17,14,328,,,,0,1,1005,,,,,,,,500004,,,,,,,,
,108015,特惠购买6480玉玦,cn.gamejelly.360.thgm_6480yj,115,4,18,15,648,,,,0,1,1006,,,,,,,,500005,,,,,,,,
官方,109000,60玉玦,cn.gamejelly.gong.official_60yj,400,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,109001,300玉玦,cn.gamejelly.gong.official_300yj,400,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,109002,980玉玦,cn.gamejelly.gong.official_980yj,400,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,109003,1980玉玦,cn.gamejelly.gong.official_1980yj,400,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,109004,3280玉玦,cn.gamejelly.gong.official_3280yj,400,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,109005,6480玉玦,cn.gamejelly.gong.official_6480yj,400,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,109006,月卡,cn.gamejelly.gong.appstore_yk,400,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,109007,周卡,cn.gamejelly.gong.appstore_zk,400,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,109008,36000玉玦,cn.gamejelly.gong.official_36000yj,400,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,109009,10玉玦,cn.gamejelly.gong.official_10yj,400,1,9,0,1,10,1,,10,1,10,22015,,,,,,,,,,,,,,,
酷派,110000,60玉玦,cn.gamejelly.gong.coolpad_60yj,147,1,1,3,6,60,6,,60,1,1000,22015,,,,,2,,,,,,1,,,,
,110001,300玉玦,cn.gamejelly.gong.coolpad_300yj,147,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,3,,,,,,2,,,,
,110002,980玉玦,cn.gamejelly.gong.coolpad_980yj,147,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,4,,,,,,3,,,,
,110003,1980玉玦,cn.gamejelly.gong.coolpad_1980yj,147,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,5,,,,,,4,,,,
,110004,3280玉玦,cn.gamejelly.gong.coolpad_3280yj,147,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,6,,,,,,5,,,,
,110005,6480玉玦,cn.gamejelly.gong.coolpad_6480yj,147,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,7,,,,,,6,,,,
,110006,月卡,cn.gamejelly.gong.appstore_yk,147,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,110007,周卡,cn.gamejelly.gong.appstore_zk,147,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,110008,36000玉玦,cn.gamejelly.gong.coolpad_36000yj,147,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,110009,特惠购买10玉玦,cn.gamejelly.coolpad.thgm_10yj,147,4,12,9,1,,,,0,1,1007,,,,,,10,,500006,,,,,,,,
,110010,特惠购买60玉玦,cn.gamejelly.coolpad.thgm_60yj,147,4,13,10,6,,,,0,1,1002,,,,,,11,,500001,,,,,,,,
,110011,特惠购买300玉玦,cn.gamejelly.coolpad.thgm_300yj,147,4,14,11,30,,,,0,1,1001,,,,,,12,,500000,,,,,,,,
,110012,特惠购买980玉玦,cn.gamejelly.coolpad.thgm_980yj,147,4,15,12,98,,,,0,1,1003,,,,,,13,,500002,,,,,,,,
,110013,特惠购买1980玉玦,cn.gamejelly.coolpad.thgm_1980yj,147,4,16,13,198,,,,0,1,1004,,,,,,14,,500003,,,,,,,,
,110014,特惠购买3280玉玦,cn.gamejelly.coolpad.thgm_3280yj,147,4,17,14,328,,,,0,1,1005,,,,,,15,,500004,,,,,,,,
,110015,特惠购买6480玉玦,cn.gamejelly.coolpad.thgm_6480yj,147,4,18,15,648,,,,0,1,1006,,,,,,16,,500005,,,,,,,,
腾讯,111000,60玉玦,com.tencent.tmgp.mygame_60yj,136,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,111001,300玉玦,com.tencent.tmgp.mygame_300yj,136,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,111002,980玉玦,com.tencent.tmgp.mygame_980yj,136,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,111003,1980玉玦,com.tencent.tmgp.mygame_1980yj,136,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,111004,3280玉玦,com.tencent.tmgp.mygame_3280yj,136,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,111005,6480玉玦,com.tencent.tmgp.mygame_6480yj,136,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,111006,月卡,cn.gamejelly.gong.appstore_yk,136,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,111007,周卡,cn.gamejelly.gong.appstore_zk,136,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,111008,36000玉玦,com.tencent.tmgp.mygame_36000yj,136,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,111009,特惠购买10玉玦,com.tencent.tmgp.mygame.thgm_10yj,136,4,12,9,1,,,,0,1,1007,,,,,,,,500006,,,,,,,,
,111010,特惠购买60玉玦,com.tencent.tmgp.mygame.thgm_60yj,136,4,13,10,6,,,,0,1,1002,,,,,,,,500001,,,,,,,,
,111011,特惠购买300玉玦,com.tencent.tmgp.mygame.thgm_300yj,136,4,14,11,30,,,,0,1,1001,,,,,,,,500000,,,,,,,,
,111012,特惠购买980玉玦,com.tencent.tmgp.mygame.thgm_980yj,136,4,15,12,98,,,,0,1,1003,,,,,,,,500002,,,,,,,,
,111013,特惠购买1980玉玦,com.tencent.tmgp.mygame.thgm_1980yj,136,4,16,13,198,,,,0,1,1004,,,,,,,,500003,,,,,,,,
,111014,特惠购买3280玉玦,com.tencent.tmgp.mygame.thgm_3280yj,136,4,17,14,328,,,,0,1,1005,,,,,,,,500004,,,,,,,,
,111015,特惠购买6480玉玦,com.tencent.tmgp.mygame.thgm_6480yj,136,4,18,15,648,,,,0,1,1006,,,,,,,,500005,,,,,,,,
百度,112000,60玉玦,cn.gamejelly.gong.baidu_60yj,114,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,112001,300玉玦,cn.gamejelly.gong.baidu_300yj,114,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,112002,980玉玦,cn.gamejelly.gong.baidu_980yj,114,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,112003,1980玉玦,cn.gamejelly.gong.baidu_1980yj,114,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,112004,3280玉玦,cn.gamejelly.gong.baidu_3280yj,114,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,112005,6480玉玦,cn.gamejelly.gong.baidu_6480yj,114,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,112006,月卡,cn.gamejelly.gong.appstore_yk,114,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,112007,周卡,cn.gamejelly.gong.appstore_zk,114,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,112008,36000玉玦,cn.gamejelly.gong.baidu_36000yj,114,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,112009,特惠购买10玉玦,cn.gamejelly.baidu.thgm_10yj,114,4,12,9,1,,,,0,1,1007,,,,,,,,500006,,,,,,,,
,112010,特惠购买60玉玦,cn.gamejelly.baidu.thgm_60yj,114,4,13,10,6,,,,0,1,1002,,,,,,,,500001,,,,,,,,
,112011,特惠购买300玉玦,cn.gamejelly.baidu.thgm_300yj,114,4,14,11,30,,,,0,1,1001,,,,,,,,500000,,,,,,,,
,112012,特惠购买980玉玦,cn.gamejelly.baidu.thgm_980yj,114,4,15,12,98,,,,0,1,1003,,,,,,,,500002,,,,,,,,
,112013,特惠购买1980玉玦,cn.gamejelly.baidu.thgm_1980yj,114,4,16,13,198,,,,0,1,1004,,,,,,,,500003,,,,,,,,
,112014,特惠购买3280玉玦,cn.gamejelly.baidu.thgm_3280yj,114,4,17,14,328,,,,0,1,1005,,,,,,,,500004,,,,,,,,
,112015,特惠购买6480玉玦,cn.gamejelly.baidu.thgm_6480yj,114,4,18,15,648,,,,0,1,1006,,,,,,,,500005,,,,,,,,
快看,113000,60玉玦,cn.gamejelly.gong.kuaikan_60yj,148,1,1,3,6,60,6,,60,1,1000,22015,,,,,1,,,,,,,,,,
,113001,300玉玦,cn.gamejelly.gong.kuaikan_300yj,148,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,2,,,,,,,,,,
,113002,980玉玦,cn.gamejelly.gong.kuaikan_980yj,148,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,3,,,,,,,,,,
,113003,1980玉玦,cn.gamejelly.gong.kuaikan_1980yj,148,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,4,,,,,,,,,,
,113004,3280玉玦,cn.gamejelly.gong.kuaikan_3280yj,148,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,5,,,,,,,,,,
,113005,6480玉玦,cn.gamejelly.gong.kuaikan_6480yj,148,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,6,,,,,,,,,,
,113006,月卡,cn.gamejelly.gong.appstore_yk,148,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,113007,周卡,cn.gamejelly.gong.appstore_zk,148,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,113008,36000玉玦,cn.gamejelly.gong.kuaikan_36000yj,148,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,113009,特惠购买10玉玦,cn.gamejelly.kuaikan.thgm_10yj,148,4,12,9,1,,,,0,1,1007,,,,,,10,,500006,,,,,,,,
,113010,特惠购买60玉玦,cn.gamejelly.kuaikan.thgm_60yj,148,4,13,10,6,,,,0,1,1002,,,,,,11,,500001,,,,,,,,
,113011,特惠购买300玉玦,cn.gamejelly.kuaikan.thgm_300yj,148,4,14,11,30,,,,0,1,1001,,,,,,12,,500000,,,,,,,,
,113012,特惠购买980玉玦,cn.gamejelly.kuaikan.thgm_980yj,148,4,15,12,98,,,,0,1,1003,,,,,,13,,500002,,,,,,,,
,113013,特惠购买1980玉玦,cn.gamejelly.kuaikan.thgm_1980yj,148,4,16,13,198,,,,0,1,1004,,,,,,14,,500003,,,,,,,,
,113014,特惠购买3280玉玦,cn.gamejelly.kuaikan.thgm_3280yj,148,4,17,14,328,,,,0,1,1005,,,,,,15,,500004,,,,,,,,
,113015,特惠购买6480玉玦,cn.gamejelly.kuaikan.thgm_6480yj,148,4,18,15,648,,,,0,1,1006,,,,,,16,,500005,,,,,,,,
努比亚,114000,60玉玦,cn.gamejelly.gong.nubia_60yj,150,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,114001,300玉玦,cn.gamejelly.gong.nubia_300yj,150,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,114002,980玉玦,cn.gamejelly.gong.nubia_980yj,150,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,114003,1980玉玦,cn.gamejelly.gong.nubia_1980yj,150,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,114004,3280玉玦,cn.gamejelly.gong.nubia_3280yj,150,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,114005,6480玉玦,cn.gamejelly.gong.nubia_6480yj,150,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,114006,月卡,cn.gamejelly.gong.appstore_yk,150,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,114007,周卡,cn.gamejelly.gong.appstore_zk,150,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,114008,36000玉玦,cn.gamejelly.gong.nubia_36000yj,150,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,114009,特惠购买10玉玦,cn.gamejelly.nubia.thgm_10yj,150,4,12,9,1,,,,0,1,1007,,,,,,,,500006,,,,,,,,
,114010,特惠购买60玉玦,cn.gamejelly.nubia.thgm_60yj,150,4,13,10,6,,,,0,1,1002,,,,,,,,500001,,,,,,,,
,114011,特惠购买300玉玦,cn.gamejelly.nubia.thgm_300yj,150,4,14,11,30,,,,0,1,1001,,,,,,,,500000,,,,,,,,
,114012,特惠购买980玉玦,cn.gamejelly.nubia.thgm_980yj,150,4,15,12,98,,,,0,1,1003,,,,,,,,500002,,,,,,,,
,114013,特惠购买1980玉玦,cn.gamejelly.nubia.thgm_1980yj,150,4,16,13,198,,,,0,1,1004,,,,,,,,500003,,,,,,,,
,114014,特惠购买3280玉玦,cn.gamejelly.nubia.thgm_3280yj,150,4,17,14,328,,,,0,1,1005,,,,,,,,500004,,,,,,,,
,114015,特惠购买6480玉玦,cn.gamejelly.nubia.thgm_6480yj,150,4,18,15,648,,,,0,1,1006,,,,,,,,500005,,,,,,,,
爱奇艺,115000,60玉玦,cn.gamejelly.gong.iqy_60yj,151,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,115001,300玉玦,cn.gamejelly.gong.iqy_300yj,151,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,115002,980玉玦,cn.gamejelly.gong.iqy_980yj,151,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,115003,1980玉玦,cn.gamejelly.gong.iqy_1980yj,151,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,115004,3280玉玦,cn.gamejelly.gong.iqy_3280yj,151,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,115005,6480玉玦,cn.gamejelly.gong.iqy_6480yj,151,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,115006,月卡,cn.gamejelly.gong.appstore_yk,151,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,115007,周卡,cn.gamejelly.gong.appstore_zk,151,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,115008,36000玉玦,cn.gamejelly.gong.iqy_36000yj,151,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,115009,特惠购买10玉玦,cn.gamejelly.iqy.thgm_10yj,151,4,12,9,1,,,,0,1,1007,,,,,,,,500006,,,,,,,,
,115010,特惠购买60玉玦,cn.gamejelly.iqy.thgm_60yj,151,4,13,10,6,,,,0,1,1002,,,,,,,,500001,,,,,,,,
,115011,特惠购买300玉玦,cn.gamejelly.iqy.thgm_300yj,151,4,14,11,30,,,,0,1,1001,,,,,,,,500000,,,,,,,,
,115012,特惠购买980玉玦,cn.gamejelly.iqy.thgm_980yj,151,4,15,12,98,,,,0,1,1003,,,,,,,,500002,,,,,,,,
,115013,特惠购买1980玉玦,cn.gamejelly.iqy.thgm_1980yj,151,4,16,13,198,,,,0,1,1004,,,,,,,,500003,,,,,,,,
,115014,特惠购买3280玉玦,cn.gamejelly.iqy.thgm_3280yj,151,4,17,14,328,,,,0,1,1005,,,,,,,,500004,,,,,,,,
,115015,特惠购买6480玉玦,cn.gamejelly.iqy.thgm_6480yj,151,4,18,15,648,,,,0,1,1006,,,,,,,,500005,,,,,,,,
美图,116000,60玉玦,cn.gamejelly.gong.meitu_60yj,149,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,116001,300玉玦,cn.gamejelly.gong.meitu_300yj,149,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,116002,980玉玦,cn.gamejelly.gong.meitu_980yj,149,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,116003,1980玉玦,cn.gamejelly.gong.meitu_1980yj,149,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,116004,3280玉玦,cn.gamejelly.gong.meitu_3280yj,149,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,116005,6480玉玦,cn.gamejelly.gong.meitu_6480yj,149,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,116006,月卡,cn.gamejelly.gong.appstore_yk,149,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,116007,周卡,cn.gamejelly.gong.appstore_zk,149,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,116008,36000玉玦,cn.gamejelly.gong.meitu_36000yj,149,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,116009,特惠购买10玉玦,cn.gamejelly.meitu.thgm_10yj,149,4,12,9,1,,,,0,1,1007,,,,,,,,500006,,,,,,,,
,116010,特惠购买60玉玦,cn.gamejelly.meitu.thgm_60yj,149,4,13,10,6,,,,0,1,1002,,,,,,,,500001,,,,,,,,
,116011,特惠购买300玉玦,cn.gamejelly.meitu.thgm_300yj,149,4,14,11,30,,,,0,1,1001,,,,,,,,500000,,,,,,,,
,116012,特惠购买980玉玦,cn.gamejelly.meitu.thgm_980yj,149,4,15,12,98,,,,0,1,1003,,,,,,,,500002,,,,,,,,
,116013,特惠购买1980玉玦,cn.gamejelly.meitu.thgm_1980yj,149,4,16,13,198,,,,0,1,1004,,,,,,,,500003,,,,,,,,
,116014,特惠购买3280玉玦,cn.gamejelly.meitu.thgm_3280yj,149,4,17,14,328,,,,0,1,1005,,,,,,,,500004,,,,,,,,
,116015,特惠购买6480玉玦,cn.gamejelly.meitu.thgm_6480yj,149,4,18,15,648,,,,0,1,1006,,,,,,,,500005,,,,,,,,
朋友玩,117000,60玉玦,cn.gamejelly.gong.pywan_60yj,152,1,1,3,6,60,6,,60,1,1000,22015,,,,,1,,,,,,,,,,
,117001,300玉玦,cn.gamejelly.gong.pywan_300yj,152,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,2,,,,,,,,,,
,117002,980玉玦,cn.gamejelly.gong.pywan_980yj,152,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,8,,,,,,,,,,
,117003,1980玉玦,cn.gamejelly.gong.pywan_1980yj,152,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,3,,,,,,,,,,
,117004,3280玉玦,cn.gamejelly.gong.pywan_3280yj,152,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,4,,,,,,,,,,
,117005,6480玉玦,cn.gamejelly.gong.pywan_6480yj,152,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,5,,,,,,,,,,
,117006,月卡,cn.gamejelly.gong.appstore_yk,152,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,117007,周卡,cn.gamejelly.gong.appstore_zk,152,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,117008,36000玉玦,cn.gamejelly.gong.pywan_36000yj,152,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,117009,特惠购买10玉玦,cn.gamejelly.pywan.thgm_10yj,152,4,12,9,1,,,,0,1,1007,,,,,,9,,500006,,,,,,,,
,117010,特惠购买60玉玦,cn.gamejelly.pywan.thgm_60yj,152,4,13,10,6,,,,0,1,1002,,,,,,10,,500001,,,,,,,,
,117011,特惠购买300玉玦,cn.gamejelly.pywan.thgm_300yj,152,4,14,11,30,,,,0,1,1001,,,,,,11,,500000,,,,,,,,
,117012,特惠购买980玉玦,cn.gamejelly.pywan.thgm_980yj,152,4,15,12,98,,,,0,1,1003,,,,,,12,,500002,,,,,,,,
,117013,特惠购买1980玉玦,cn.gamejelly.pywan.thgm_1980yj,152,4,16,13,198,,,,0,1,1004,,,,,,13,,500003,,,,,,,,
,117014,特惠购买3280玉玦,cn.gamejelly.pywan.thgm_3280yj,152,4,17,14,328,,,,0,1,1005,,,,,,14,,500004,,,,,,,,
,117015,特惠购买6480玉玦,cn.gamejelly.pywan.thgm_6480yj,152,4,18,15,648,,,,0,1,1006,,,,,,15,,500005,,,,,,,,
图图语音,118000,60玉玦,cn.gamejelly.gong.ttyuyin_60yj,153,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,118001,300玉玦,cn.gamejelly.gong.ttyuyin_300yj,153,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,118002,980玉玦,cn.gamejelly.gong.ttyuyin_980yj,153,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,118003,1980玉玦,cn.gamejelly.gong.ttyuyin_1980yj,153,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,118004,3280玉玦,cn.gamejelly.gong.ttyuyin_3280yj,153,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,118005,6480玉玦,cn.gamejelly.gong.ttyuyin_6480yj,153,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,118006,月卡,cn.gamejelly.gong.appstore_yk,153,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,118007,周卡,cn.gamejelly.gong.appstore_zk,153,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,118008,36000玉玦,cn.gamejelly.gong.ttyuyin_36000yj,153,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,118009,特惠购买10玉玦,cn.gamejelly.ttyuyin.thgm_10yj,153,4,12,9,1,,,,0,1,1007,,,,,,,,500006,,,,,,,,
,118010,特惠购买60玉玦,cn.gamejelly.ttyuyin.thgm_60yj,153,4,13,10,6,,,,0,1,1002,,,,,,,,500001,,,,,,,,
,118011,特惠购买300玉玦,cn.gamejelly.ttyuyin.thgm_300yj,153,4,14,11,30,,,,0,1,1001,,,,,,,,500000,,,,,,,,
,118012,特惠购买980玉玦,cn.gamejelly.ttyuyin.thgm_980yj,153,4,15,12,98,,,,0,1,1003,,,,,,,,500002,,,,,,,,
,118013,特惠购买1980玉玦,cn.gamejelly.ttyuyin.thgm_1980yj,153,4,16,13,198,,,,0,1,1004,,,,,,,,500003,,,,,,,,
,118014,特惠购买3280玉玦,cn.gamejelly.ttyuyin.thgm_3280yj,153,4,17,14,328,,,,0,1,1005,,,,,,,,500004,,,,,,,,
,118015,特惠购买6480玉玦,cn.gamejelly.ttyuyin.thgm_6480yj,153,4,18,15,648,,,,0,1,1006,,,,,,,,500005,,,,,,,,
怪猫,119000,60玉玦,cn.gamejelly.gong.guaimao_60yj,154,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,119001,300玉玦,cn.gamejelly.gong.guaimao_300yj,154,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,119002,980玉玦,cn.gamejelly.gong.guaimao_980yj,154,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,119003,1980玉玦,cn.gamejelly.gong.guaimao_1980yj,154,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,119004,3280玉玦,cn.gamejelly.gong.guaimao_3280yj,154,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,119005,6480玉玦,cn.gamejelly.gong.guaimao_6480yj,154,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,119006,月卡,cn.gamejelly.gong.appstore_yk,154,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,119007,周卡,cn.gamejelly.gong.appstore_zk,154,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,119008,36000玉玦,cn.gamejelly.gong.guaimao_36000yj,154,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,119009,特惠购买10玉玦,cn.gamejelly.guaimao.thgm_10yj,154,4,12,9,1,,,,0,1,1007,,,,,,,,500006,,,,,,,,
,119010,特惠购买60玉玦,cn.gamejelly.guaimao.thgm_60yj,154,4,13,10,6,,,,0,1,1002,,,,,,,,500001,,,,,,,,
,119011,特惠购买300玉玦,cn.gamejelly.guaimao.thgm_300yj,154,4,14,11,30,,,,0,1,1001,,,,,,,,500000,,,,,,,,
,119012,特惠购买980玉玦,cn.gamejelly.guaimao.thgm_980yj,154,4,15,12,98,,,,0,1,1003,,,,,,,,500002,,,,,,,,
,119013,特惠购买1980玉玦,cn.gamejelly.guaimao.thgm_1980yj,154,4,16,13,198,,,,0,1,1004,,,,,,,,500003,,,,,,,,
,119014,特惠购买3280玉玦,cn.gamejelly.guaimao.thgm_3280yj,154,4,17,14,328,,,,0,1,1005,,,,,,,,500004,,,,,,,,
,119015,特惠购买6480玉玦,cn.gamejelly.guaimao.thgm_6480yj,154,4,18,15,648,,,,0,1,1006,,,,,,,,500005,,,,,,,,
sina,120000,60玉玦,cn.gamejelly.gong.sina_60yj,155,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,120001,300玉玦,cn.gamejelly.gong.sina_300yj,155,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,120002,980玉玦,cn.gamejelly.gong.sina_980yj,155,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,120003,1980玉玦,cn.gamejelly.gong.sina_1980yj,155,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,120004,3280玉玦,cn.gamejelly.gong.sina_3280yj,155,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,120005,6480玉玦,cn.gamejelly.gong.sina_6480yj,155,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
