交互检查规则,,,,,,,,,,,,,,,
导出规则,,,,,,,,,,,,,,,
分类,,,,,,,,,,,,,,,
表头,编号,对话内容,对话人物,对话人物名称,正在说话任务,下个对话,人物站位,位置偏移值,配音ID,屏幕坐标,介绍,场景,特殊,,断章对话
,591,殿下今日来集贤馆，可是要寻些什么书卷？,"(40001,)",玩家,-1,"(592,)","(2,)","(-309,)",,1,,1004,,,
,592,国师是集贤馆常客，荀学士见到国师逃得比兔子还快，只得我去伺候。,"(40001,)",旁白,0,"(593,)","(2,)","(-309,)",,1,,1004,,,
,593,不过熟悉之后发现并不是很难伺候，有时只是身份给予的威严太重，令人恐慌罢了。,"(40001,)",旁白,0,"(594,)","(2,)","(-309,)",,1,,1004,,,
,594,今日不寻书，寻你。,"(40001,)",长雍君,40001,"(595,)","(2,)","(-309,)",,1,,1004,,,
,595,………………,"(40001,)",玩家,-1,"(596,)","(2,)","(-309,)",,1,,1004,,,
,596,殿下玩笑了。,"(40001,)",玩家,-1,"(597,)","(2,)","(-309,)",,1,,1004,,,
,597,谁与你玩笑？,"(40001,)",长雍君,40001,"(598,)","(2,)","(-309,)",,1,,1004,,,
,598,不好了！小姐！——,"(40001,40021,)",青湖,40021,"(599,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,599,……怕是有事要发生。,"(40001,40021,)",玩家,-1,"(600,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,600,……？,"(40001,40021,)",长雍君,40001,"(601,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,601,殿下有所不知，我这丫头……乌鸦嘴得很。,"(40001,40021,)",玩家,-1,"(602,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,602,何事喧哗？殿下当面，还不行礼！,"(40001,40021,)",玩家,-1,"(603,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,603,……青湖见过国师大人！,"(40001,40021,)",青湖,40021,"(604,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,604,起。,"(40001,40021,)",长雍君,40001,"(605,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,605,何事如此惊慌失措？,"(40001,40021,)",长雍君,40001,"(606,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,606,回大人的话！荀学士她……荀学士她淹死啦！,"(40001,40021,)",青湖,40021,"(607,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,607,……,"(40001,40021,)",玩家,-1,"(608,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,608,恩，让人处理了便是。,"(40001,40021,)",长雍君,40001,"(609,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,609,可是有人在到处传说是您杀的荀学士，德妃娘娘气得狠了，正带着人马来寻你呢！,"(40001,40021,)",青湖,40021,"(610,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,610,我杀的荀学士？理由呢？,"(40001,40021,)",玩家,-1,"(611,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,611,……这……,"(40001,40021,)",青湖,40021,"(612,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,612,说。,"(40001,40021,)",长雍君,40001,"(613,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,613,人说您与荀学士都爱慕国师大人，争风吃醋之下便将荀学士给……,"(40001,40021,)",青湖,40021,"(614,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,614,放肆。,"(40001,40021,)",长雍君,40001,"(615,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,615,国师大人息怒！,"(40001,40021,)",青湖,40021,"(616,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,616,敢拖本座下水，好大的胆子。,"(40001,40021,)",长雍君,40001,"(617,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,617,我悄悄侧过脸去看国师，见他平静无波的说出了这句话，仿佛对方已经是死人了一般。/n顿时我只觉得汗毛倒立，仿佛整个人被冰水沁了一遍一般，可怕极了。,"(40001,40021,)",旁白,0,"(618,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,618,殿下息怒。,"(40001,40021,)",玩家,-1,"(619,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,619,糟糕，德妃娘娘的仪仗已经到了！,"(40001,40021,)",青湖,40021,,"(1,3,)","(-356,-309,)",,1,,1004,,,
4-8-(43)-荀德妃,620,见过德妃娘娘。,"(40015,)",玩家,-1,"(621,)","(2,)","(-309,)",,1,,1004,,,
,621,跪下！,"(40015,)",荀德妃,40015,"(622,)","(2,)","(-309,)",,1,,1004,,,
,622,不准跪。,"(40001,40015,)",长雍君,40001,"(623,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,623,原来是国师大人在此，国师大人还请行个方便……\n这丫头与我血海深仇已结，我今日非了结了她不可！,"(40001,40015,)",荀德妃,40015,"(624,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,624,血海深仇？我与娘娘并未见过面吧？这血海深仇从何说起？,"(40001,40015,)",玩家,-1,"(625,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,625,好厉害的嘴！,"(40001,40015,)",荀德妃,40015,"(626,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,626,来人！给我把这胆大包天、丧心病狂之人抓起来！\n一顿乱杖打死了就拖去我那可怜的哥哥府上挫骨扬灰！,"(40001,40015,)",荀德妃,40015,"(627,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,627,德妃好大的口气。,"(40001,40015,)",长雍君,40001,"(628,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,628,还请娘娘容我自辩。,"(40001,40015,)",玩家,-1,"(629,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,629,我虽不过八品学士，却也是记录在册的女官，娘娘要杖毙我，也得有个正经理由才行。,"(40001,40015,)",玩家,-1,"(630,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,630,娘娘如此气势汹汹而来，又不分青红皂白杖毙了我，就不怕招来非议么？,"(40001,40015,)",玩家,-1,"(631,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,631,你与她说这作甚？让她来，我看谁敢动你。,"(40001,40015,)",长雍君,40001,"(632,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,632,多谢殿下抬爱。荀学士之事我已有耳闻，我虽与荀学士不睦，却又有何理由杀她？,"(40001,40015,)",玩家,-1,"(633,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,633,若是娘娘听了传闻，就该知道那是无稽之谈。,"(40001,40015,)",玩家,-1,"(634,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,634,口腹蜜剑之辈！我自然知道传言无稽之谈，国师之尊又岂会与尔等纠缠不清？,"(40001,40015,)",荀德妃,40015,"(635,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,635,然若不是你，那也是与你有关之人，否则我那侄女好端端的在集贤馆，平时外人也不接触一个，怎会死得如此冤枉？,"(40001,40015,)",荀德妃,40015,"(636,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,636,娘娘不妨查一查近日出入集贤馆的记录。,"(40001,40015,)",玩家,-1,"(637,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,637,宫中规矩森严，来往出入皆需铭牌。\n我一柔弱女子，平时也不敢擅自离开集贤馆，更是万万不可能悄无声息的将荀学士弄入太液池中。,"(40001,40015,)",玩家,-1,"(638,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,638,便是出去了，我与荀学士同为女子，怎么可能悄无声息的将荀学士给溺死了？娘娘何妨一查？,"(40001,40015,)",玩家,-1,"(639,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,639,好，本宫就去查！来人，把集贤馆来往名录给本宫调出来！\n给本宫当着她面查！好叫她死得心服口服！,"(40001,40015,)",荀德妃,40015,"(640,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,640,是，娘娘！,"(5014,)",王嬷嬷,5014,"(641,)","(2,)","(-309,)",,1,,1004,,,
,641,还请各位贵人稍待片刻，老奴立刻就去调取名录。,"(5014,)",王嬷嬷,5014,"(642,)","(2,)","(-309,)",,1,,1004,,,
,642,青湖，跟王嬷嬷去。,"(5014,40021,)",玩家,-1,"(643,)","(1,3,)","(-309,-309,)",,1,,1004,,,
,643,是，小姐。,"(5014,40021,)",青湖,40021,"(644,)","(1,3,)","(-309,-309,)",,1,,1004,,,
,644,怎么，南学士还不放心本宫的人？,"(40001,40015,)",荀德妃,40015,"(645,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,645,一个不好，我可是要给德妃娘娘赔命的，自然是要小心为上的。,"(40001,40015,)",玩家,-1,"(646,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,646,……哼！让她去！,"(40001,40015,)",荀德妃,40015,"(647,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,647,片刻之后，青湖与那王嬷嬷回来了。,"(40001,40015,)",旁白,0,"(648,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,648,禀娘娘，南学士近半月内未曾出过集贤馆一步。,"(5014,)",王嬷嬷,5014,"(649,)","(2,)","(-309,)",,1,,1004,,,
,649,半月前呢？,"(40001,40015,)",荀德妃,40015,"(650,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,650,仅有一次。南学士在十六日前持国师手谕送三卷文书前往观星台。,"(5014,)",王嬷嬷,5014,"(651,)","(2,)","(-309,)",,1,,1004,,,
,651,"不错，是本座手谕。德妃可是怀疑本座？		","(40001,40015,)",长雍君,40001,"(652,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,652,妾身不敢。,"(40001,40015,)",荀德妃,40015,"(653,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,653,只是这宫中多些心狠手辣之辈，杀人何需自己动手？妾身不得不防而已。,"(40001,40015,)",荀德妃,40015,"(654,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,654,王嬷嬷，可有与此人来往过密者？,"(40001,40015,)",荀德妃,40015,"(655,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,655,……这……,"(5014,)",王嬷嬷,5014,"(656,)","(2,)","(-309,)",,1,,1004,,,
,656,直说无妨。,"(40001,40015,)",长雍君,40001,"(657,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,657,南学士入宫一月以来，除贴身丫鬟外……\n见的最多的便是国师大人，国师大人来集贤馆便是南学士侍奉在侧。\n哪怕那日是南学士轮休也不例外。,"(5014,)",王嬷嬷,5014,"(658,)","(2,)","(-309,)",,1,,1004,,,
,658,看嬷嬷说的，殿下来集贤馆总是需要有人寻书查卷的，集贤馆内学士共二人。\n荀学士总是不在馆内，询问周围之人也不曾知晓，难道任由殿下便无人侍奉？,"(5014,40015,)",玩家,-1,"(659,)","(1,3,)","(-309,-309,)",,1,,1004,,,
,659,哼，巧言令色！我那可怜的侄女便是死了还要被你泼污水！,"(5014,40015,)",荀德妃,40015,"(660,)","(1,3,)","(-309,-309,)",,1,,1004,,,
,660,来人，将她拖下去杖毙！,"(5014,40015,)",荀德妃,40015,"(661,)","(1,3,)","(-309,-309,)",,1,,1004,,,
,661,娘娘寻不着线索，便要直接打死我了事？,"(5014,40015,)",玩家,-1,"(662,)","(1,3,)","(-309,-309,)",,1,,1004,,,
,662,是又如何？,"(40001,40015,)",荀德妃,40015,"(663,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,663,放肆。本座面前，何人敢擅动。,"(40001,40015,)",长雍君,40001,"(664,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,664,这等杀人凶手，国师也要包庇？,"(40001,40015,)",荀德妃,40015,"(665,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,665,本座想保什么人，轮得到你置疑？,"(40001,40015,)",长雍君,40001,"(666,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,666,若你执意，不妨试一试。,"(40001,40015,)",长雍君,40001,"(667,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,667,……,"(40001,40015,)",荀德妃,40015,"(668,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,668,南学士，今日有国师保你，本宫耐何你不得……\n你可小心了，今后莫要给本宫机会，否则……\n小事化大，大事杖毙！,"(40001,40015,)",荀德妃,40015,"(669,)","(1,3,)","(-356,-309,)",,1,,1004,,,
,669,多谢娘娘提醒。,"(40001,40015,)",玩家,-1,,"(1,3,)","(-356,-309,)",,1,,1004,,,
4-9-(44)-长雍君,670,这宫中怕是你待不得了。,"(40001,)",长雍君,40001,"(671,)","(2,)","(-356,)",,2,,1004,,,
,671,正是如此……\n方才多谢殿下护我，德妃娘娘怕是记着我了。,"(40001,)",玩家,-1,"(672,)","(2,)","(-356,)",,2,,1004,,,
,672,可否请殿下帮我个忙？,"(40001,)",玩家,-1,"(673,)","(2,)","(-356,)",,2,,1004,,,
,673,何事？直说无妨。,"(40001,)",长雍君,40001,"(674,)","(2,)","(-356,)",,2,,1004,,,
,674,还请殿下将此事传予我父亲，请他老人家速速捞我出去吧。,"(40001,)",玩家,-1,"(675,)","(2,)","(-356,)",,2,,1004,,,
,675,这有何难？,"(40001,)",长雍君,40001,"(676,)","(2,)","(-356,)",,2,,1004,,,
,676,只是这之间还有段时间，你怎么办？,"(40001,)",长雍君,40001,"(677,)","(2,)","(-356,)",,2,,1004,,,
,677,走一步看一步吧。,"(40001,)",玩家,-1,"(678,)","(2,)","(-356,)",,2,,1004,,,
,678,……你与我去观星台吧。,"(40001,)",长雍君,40001,"(679,)","(2,)","(-356,)",,2,,1004,,,
,679,……？,"(40001,)",玩家,-1,"(680,)","(2,)","(-356,)",,2,,1004,,,
,680,观星台中，无人可制辖于你，待得你役满，便可以回家了。,"(40001,)",长雍君,40001,"(681,)","(2,)","(-356,)",,2,,1004,,,
,681,再者，观星台于金陵城接洽，你可随意外出，不受宫中制约。,"(40001,)",长雍君,40001,"(682,)","(2,)","(-356,)",,2,,1004,,,
,682,哎？这样可以吗？,"(40001,)",玩家,-1,"(683,)","(2,)","(-356,)",,2,,1004,,,
,683,自然。,"(40001,)",长雍君,40001,"(684,)","(2,)","(-356,)",,2,,1004,,,
,684,我是宫中女官，应当遵守宫规坚守岗位……,"(40001,)",玩家,-1,"(685,)","(2,)","(-356,)",,2,,1004,,,
,685,我是宫中国师。,"(40001,)",长雍君,40001,"(686,)","(2,)","(-356,)",,2,,1004,,,
,686,殿下，我们什么时候去观星台？,"(40001,)",玩家,-1,"(687,)","(2,)","(-356,)",,2,,1004,,,
,687,…………,"(40001,)",长雍君,40001,"(688,)","(2,)","(-356,)",,2,,1004,,,
,688,现在。,"(40001,)",长雍君,40001,"(689,)","(2,)","(-356,)",,2,,1004,,,
,689,于是，我在进宫一个月后从集贤馆女官成了观星台的女官。,"(1000,)",旁白,0,"(690,)","(2,)","(-309,)",,2,,10,"(10002,)",,
,690,……这……,"(1000,)",旁白,0,"(691,)","(2,)","(-309,)",,2,,10,"(10002,)",,
,691,爹，您啥时候把我捞回去啊？,"(1000,)",旁白,0,,"(2,)","(-309,)",,2,,10,"(10002,)",,
5-1-(45)北斗,692,南学士，殿下有令，请学士前往城中临江楼一趟。,"(40014,)",北斗,40014,"(693,)","(2,)","(-356,)",,1,20009,1004,,,
,693,……临江楼？,"(40014,)",玩家,-1,"(694,)","(2,)","(-356,)",,1,,1004,,,
,694,也是，又到了云湖小点上市的时候了……,"(40014,)",旁白,0,"(695,)","(2,)","(-356,)",,1,,1004,,,
,695,我娘还在的时候，最爱吃的便是临江楼的云湖小点。\n每逢开节上市，便每天都去临江楼外排着队伍，买上一盒拎回家中分与我吃。,"(40014,)",旁白,0,"(696,)","(2,)","(-356,)",,1,,1004,,,
,696,殿下也喜欢吃云湖小点么？现在时间已晚，这……,"(40014,)",玩家,-1,"(697,)","(2,)","(-356,)",,1,,1004,,,
,697,殿下请您即刻出发。,"(40014,)",北斗,40014,"(698,)","(2,)","(-356,)",,1,,1004,,,
,698,哎？,"(40014,)",玩家,-1,"(699,)","(2,)","(-356,)",,1,,1004,,,
,699,恕卑下不敢胡乱揣测上意。,"(40014,)",北斗,40014,"(700,)","(2,)","(-356,)",,1,,1004,,,
,700,好好好，不为难你了。你与殿下禀报一声，我这就去。,"(40014,)",玩家,-1,"(701,)","(2,)","(-356,)",,1,,1004,,,
,701,是。,"(40014,)",北斗,40014,,"(2,)","(-356,)",,1,,1004,,,
"5-2-（46,）莺莺",702,你这人是怎么回事！,"(5027,)",莺莺,5027,"(703,)","(2,)","(-309,)",,1,,1006,,,
,703,莺莺，我对你是真心的啊！,"(5027,5028,)",纨绔公子,5028,"(704,)","(1,3,)","(-309,-356,)",,1,,1006,,,
,704,你不要再纠缠我了！,"(5027,5028,)",莺莺,5027,"(705,)","(1,3,)","(-309,-356,)",,1,,1006,,,
,705,这位姑娘，你来评评理！,"(5027,5028,)",莺莺,5027,"(706,)","(1,3,)","(-309,-356,)",,1,,1006,,,
,706,你是谁？不要多管闲事！,"(5027,5028,)",纨绔公子,5028,"(707,)","(1,3,)","(-309,-356,)",,1,,1006,,,
,707,…………\n……我不是，我没有……,"(5027,5028,)",玩家,-1,"(708,)","(1,3,)","(-309,-356,)",,1,,1006,,,
,708,姑娘饶命——！,"(5027,5028,)",纨绔公子,5028,"(709,)","(1,3,)","(-309,-356,)",,1,,1006,,,
,709,现在能好好说话了吗？,"(5027,5028,)",玩家,-1,"(710,)","(1,3,)","(-309,-356,)",,1,,1006,,,
,710,能！能！姑娘想说什么？我听着！,"(5027,5028,)",纨绔公子,5028,"(711,)","(1,3,)","(-309,-356,)",,1,,1006,,,
,711,多谢姑娘救命。,"(5027,5028,)",莺莺,5027,"(712,)","(1,3,)","(-309,-356,)",,1,,1006,,,
,712,姑娘大恩大德，莺莺无以为报，只能……,"(5027,5028,)",莺莺,5027,"(713,)","(1,3,)","(-309,-356,)",,1,,1006,,,
,713,以身相许？,"(5027,5028,)",玩家,-1,"(714,)","(1,3,)","(-309,-356,)",,1,,1006,,,
,714,所以你要卖身为贱籍到我家当奴婢吗？,"(5027,5028,)",玩家,-1,"(715,)","(1,3,)","(-309,-356,)",,1,,1006,,,
,715,不行，莺莺怎么能卖身给你们家！,"(5027,5028,)",纨绔公子,5028,"(716,)","(1,3,)","(-309,-356,)",,1,,1006,,,
,716,……姑娘玩笑了。,"(5027,5028,)",莺莺,5027,"(717,)","(1,3,)","(-309,-356,)",,1,,1006,,,
,717,我观你与他并非无情，为何在此拉拉扯扯，纠缠不清？,"(5027,5028,)",玩家,-1,"(718,)","(1,3,)","(-309,-356,)",,1,,1006,,,
,718,姑娘实不相瞒，这人确实是我夫君。,"(5027,5028,)",莺莺,5027,"(719,)","(1,3,)","(-309,-356,)",,1,,1006,,,
,719,只是这人实在是过份！南家小姐再好看，那也是人家家的，她那么好，那你去娶她呀！,"(5027,5028,)",莺莺,5027,"(720,)","(1,3,)","(-309,-356,)",,1,,1006,,,
,720,莺莺，我没有！我只是一时糊涂！,"(5027,5028,)",纨绔公子,5028,"(721,)","(1,3,)","(-309,-356,)",,1,,1006,,,
,721,南家二小姐？南且朝？,"(5027,5028,)",旁白,0,"(722,)","(1,3,)","(-309,-356,)",,1,,1006,,,
,722,呵呵，一时糊涂？就差跪在人家娘亲面前求娶了，还是一时糊涂？,"(5027,5028,)",莺莺,5027,"(723,)","(1,3,)","(-309,-356,)",,1,,1006,,,
,723,这么说，南家夫人也来了？,"(5027,5028,)",玩家,-1,"(724,)","(1,3,)","(-309,-356,)",,1,,1006,,,
,724,自然，今日晚上的琼林宴，南家二小姐有意选婿，南夫人自然要来。,"(5027,5028,)",莺莺,5027,"(725,)","(1,3,)","(-309,-356,)",,1,,1006,,,
,725,有意选婿？南夫人？,"(5027,5028,)",旁白,0,"(726,)","(1,3,)","(-309,-356,)",,1,,1006,,,
,726,柳氏不是已经被送到了庄子上吗？,"(5027,5028,)",旁白,0,"(727,)","(1,3,)","(-309,-356,)",,1,,1006,,,
,727,我还有任务在身，就不多叨扰了。,"(5027,5028,)",玩家,-1,"(728,)","(1,3,)","(-309,-356,)",,1,,1006,,,
,728,姑娘请。,"(5027,5028,)",莺莺,5027,,"(1,3,)","(-309,-356,)",,1,,1006,,,
5-3-（47）-青湖,729,小姐！太太不是去湖州的庄子上休养了吗？怎会出现在此处？,"(40021,)",青湖,40021,"(730,)","(2,)","(-309,)",,1,,1006,,,
,730,还传得到处都是什么有意选婿？太不知羞耻了！,"(40021,)",青湖,40021,"(731,)","(2,)","(-309,)",,1,,1006,,,
,731,难道她当我们南府的姑娘是青楼花魁么？,"(40021,)",青湖,40021,"(732,)","(2,)","(-309,)",,1,,1006,,,
,732,青湖，你先别激动。,"(40021,)",玩家,-1,"(733,)","(2,)","(-309,)",,1,,1006,,,
,733,可是小姐，她们这样一来，我们南府的声誉就被败坏了啊！,"(40021,)",青湖,40021,"(734,)","(2,)","(-309,)",,1,,1006,,,
,734,我们悄悄过去，不要声张，先看看太太是什么个打算。,"(40021,)",玩家,-1,"(735,)","(2,)","(-309,)",,1,,1006,,,
,735,我爹向来言出必行，其中必然有什么隐情。,"(40021,)",玩家,-1,"(736,)","(2,)","(-309,)",,1,,1006,,,
,736,是。,"(40021,)",青湖,40021,,"(2,)","(-309,)",,1,,1006,,,
5-4-（48）穷酸书生,737,且朝小姐真乃是千百年难得一见的绝色美人儿！,"(5028,5025,)",浪荡公子,5028,"(738,)","(1,3,)","(-356,-356,)",,2,,1006,,,
,738,正是正是，且朝小姐的美貌，就是在四大美人中也不过唯逊杨妃而已！,"(5028,5025,)",穷酸秀才,5025,"(739,)","(1,3,)","(-356,-356,)",,2,,1006,,,
,739,什么杨妃不杨妃，杨妃怎么有且朝小姐十分之一的美貌！,"(5028,5025,)",浪荡公子,5028,"(740,)","(1,3,)","(-356,-356,)",,2,,1006,,,
,740,哼，你这人！杨妃之美岂是汝等可以知晓！,"(5028,5025,)",穷酸秀才,5025,"(741,)","(1,3,)","(-356,-356,)",,2,,1006,,,
,741,云想衣裳花想容，春风拂槛露华浓……,"(5028,5025,)",浪荡公子,5028,"(742,)","(1,3,)","(-356,-356,)",,2,,1006,,,
,742,这两句好！形容且朝小姐恰恰合适！,"(5028,5025,)",穷酸秀才,5025,"(743,)","(1,3,)","(-356,-356,)",,2,,1006,,,
,743,不可理喻！,"(5028,5025,)",浪荡公子,5028,"(744,)","(1,3,)","(-356,-356,)",,2,,1006,,,
,744,两位公子切勿因为且朝争吵，且朝于心不安。,"(40013,)",南且朝,40013,"(745,)","(2,)","(-309,)",,2,,1006,,,
,745,两位公子都是人中豪杰，且朝心慕两位英姿，着实欢喜得紧。,"(40013,)",南且朝,40013,"(746,)","(2,)","(-309,)",,2,,1006,,,
,746,……简直不知羞耻！,"(40021,)",青湖,40021,"(747,)","(2,)","(-309,)",,2,,1006,,,
,747,……,"(40021,)",玩家,-1,"(748,)","(2,)","(-309,)",,2,,1006,,,
,748,谁在那边鬼鬼祟祟的？,"(40013,)",南且朝,40013,"(749,)","(2,)","(-309,)",,2,,1006,,,
,749,先走。,"(40021,)",玩家,-1,"(750,)","(2,)","(-309,)",,2,,1006,,,
,750,不好了小姐！且朝小姐走过来了！,"(40021,)",青湖,40021,"(751,)","(2,)","(-309,)",,2,,1006,,,
,751,……青湖，以后不准说‘不好了小姐！’五个字！,"(40021,)",玩家,-1,"(752,)","(2,)","(-309,)",,2,,1006,,,
,752,为什么……唔……,"(40021,)",青湖,40021,"(753,)","(2,)","(-309,)",,2,,1006,,,
,753,突然，有一个男子走了出来，挡在了且朝的面前。,,旁白,0,"(754,)",,,,2,,1006,,,
,754,姑娘是在寻我么？,"(40000,)",雁玉京,40000,"(755,)","(2,)","(-356,)",,2,,1006,,,
,755,你是何人，为何窥伺于我？,"(40000,40013,)",南且朝,40013,"(756,)","(1,3,)","(-356,-309,)",,2,,1006,,,
,756,临江楼非姑娘家宅，我路过此处，并无不妥。,"(40000,40013,)",雁玉京,40000,"(757,)","(1,3,)","(-356,-309,)",,2,,1006,,,
,757,你这人怎么如此无耻……,"(40000,40013,)",南且朝,40013,"(758,)","(1,3,)","(-356,-309,)",,2,,1006,,,
,758,我不过路过，也未曾同时倾慕两人，不知姑娘所说的‘无耻’为何？,"(40000,40013,)",雁玉京,40000,"(759,)","(1,3,)","(-356,-309,)",,2,,1006,,,
,759,南且朝愣了一下，随即涨红了脸，双眼蒙上了一层水雾。,"(40000,40013,)",旁白,0,"(760,)","(1,3,)","(-356,-309,)",,2,,1006,,,
,760,……你……你……我不与你这种人争辩！,"(40000,40013,)",南且朝,40013,"(761,)","(1,3,)","(-356,-309,)",,2,,1006,,,
,761,她说完，气得跺了跺脚，转身走了。,"(40000,40013,)",旁白,0,"(762,)","(1,3,)","(-356,-309,)",,2,,1006,,,
,762,你气跑了且朝小姐！,"(5028,5025,)",穷酸秀才,5025,"(763,)","(1,3,)","(-356,-356,)",,2,,1006,,,
,763,教训他！,"(5028,5025,)",浪荡公子,5028,"(764,)","(1,3,)","(-356,-356,)",,2,,1006,,,
,764,先生小心！,"(5028,5025,)",玩家,-1,,"(1,3,)","(-356,-356,)",,2,,1006,,直接进入战斗,
5-5-（49）-雁玉京,765,先生无碍吧？,"(40000,)",玩家,-1,"(766,)","(2,)","(-356,)",,2,,1006,,,
,766,无碍。,"(40000,)",雁玉京,40000,"(767,)","(2,)","(-356,)",,2,,1006,,,
,767,方才多谢先生。,"(40000,)",玩家,-1,"(768,)","(2,)","(-356,)",,2,,1006,,,
,768,不必谢我，我确实也在一旁窥伺而已。,"(40000,)",雁玉京,40000,"(769,)","(2,)","(-356,)",,2,,1006,,,
,769,难道先生也觉得那位小姐的美貌惊人？,"(40000,)",玩家,-1,"(770,)","(2,)","(-356,)",,2,,1006,,,
,770,雁玉京听了微微一笑，然后摇了摇头。,"(40000,)",旁白,0,"(771,)","(2,)","(-356,)",,2,,1006,,,
,771,好奇之心人皆有之，我许多年没见过这样的姑娘了。,"(40000,)",雁玉京,40000,"(772,)","(2,)","(-356,)",,2,,1006,,,
,772,先生见笑了。,"(40000,)",玩家,-1,"(773,)","(2,)","(-356,)",,2,,1006,,,
,773,生是来赴今晚的琼林宴的？,"(40000,)",玩家,-1,"(774,)","(2,)","(-356,)",,2,,1006,,,
,774,正是，姑娘也是？不妨一起过去吧。,"(40000,)",雁玉京,40000,"(775,)","(2,)","(-356,)",,2,,1006,,,
,775,正有此意。,"(40000,)",玩家,-1,,"(2,)","(-356,)",,2,,1006,,,
5-6-（50）-雁玉京,776,我观姑娘与那位且朝小姐有三分相似，不知……,"(40000,)",雁玉京,40000,"(777,)","(2,)","(-356,)",,2,,1006,,,
,777,那正是家妹。,"(40000,)",玩家,-1,"(778,)","(2,)","(-356,)",, ,,1006,,,
,778,原来你就是云江家的大姑娘。,"(40000,)",雁玉京,40000,"(779,)","(2,)","(-356,)",,2,,1006,,,
,779,我爹南鹤，姓南名鹤，字云江。,"(40000,)",旁白,0,"(780,)","(2,)","(-356,)",,2,,1006,,,
,780,原来先生是父亲故友，是我怠慢了。,"(40000,)",玩家,-1,"(781,)","(2,)","(-356,)",,2,,1006,,,
,781,我姓雁，名玉京。你唤我雁先生便可，你回去一问你父亲便知。,"(40000,)",雁玉京,40000,"(782,)","(2,)","(-356,)",,2,,1006,,,
,782,雁先生如此风姿，定然不会骗我。,"(40000,)",玩家,-1,"(783,)","(2,)","(-356,)",,2,,1006,,,
,783,……雁？我今年怕是与雁字有缘，这么少见的姓氏，数月内居然见了两回。,"(40000,)",玩家,-1,"(784,)","(2,)","(-356,)",,2,,1006,,,
,784,说完，我愣了一下。,"(40000,)",旁白,0,"(785,)","(2,)","(-356,)",,2,,1006,,,
,785,怪不得初见他编觉得眼熟，枫山之主雁北归与这位雁先生足有五分相似。,"(40000,)",旁白,0,"(786,)","(2,)","(-356,)",,2,,1006,,,
,786,哦？姑娘还见了谁？,"(40000,)",雁玉京,40000,"(787,)","(2,)","(-356,)",,2,,1006,,,
